Initializing SD card...card initialized.
Timestamp (ISO8601),Pressure (Pa),Altitude AGL (m),Humidity (%),Temperature (°C)
Timestamp (ISO8601),Pressure (Pa),Altitude AGL (m),Humidity (%),Temperature (°C)
0000-00-00T99:99:99:000,101050.656,0.059,62.840,25.970
0000-00-00T23:59:45:000,101050.812,0.046,62.880,25.980
0000-00-00T23:59:47:000,101050.961,0.034,62.900,25.980
0000-00-00T23:59:47:070,101050.344,0.085,62.900,25.980
0000-00-00T23:59:47:140,101049.719,0.138,62.940,26.000
0000-00-00T23:59:47:210,101049.516,0.154,62.990,25.970
0000-00-00T23:59:47:280,101050.328,0.086,62.970,26.010
0000-00-00T23:59:47:350,101052.242,-0.072,62.980,25.980
0000-00-00T23:59:47:423,101052.289,-0.077,63.010,25.980
0000-00-00T23:59:47:493,101052.320,-0.079,63.020,26.000
0000-00-00T23:59:47:563,101051.805,-0.036,63.060,26.010
0000-00-00T23:59:47:633,101052.828,-0.122,63.040,26.000
0000-00-00T23:59:47:703,101051.984,-0.051,63.100,26.000
0000-00-00T23:59:47:773,101052.109,-0.062,63.110,26.000
0000-00-00T23:59:47:843,101052.484,-0.094,63.110,25.980
0000-00-00T23:59:48:000,101053.211,-0.154,63.090,26.010
0000-00-00T23:59:48:070,101054.000,-0.219,63.120,26.000
0000-00-00T23:59:48:143,101052.812,-0.121,63.080,26.010
0000-00-00T23:59:48:213,101052.656,-0.108,63.130,26.020
0000-00-00T23:59:48:283,101052.203,-0.069,63.140,26.020
0000-00-00T23:59:48:353,101052.328,-0.080,63.120,26.010
0000-00-00T23:59:48:424,101052.281,-0.076,63.160,26.010
0000-00-00T23:59:48:494,101052.320,-0.079,63.140,26.020
0000-00-00T23:59:48:564,101052.383,-0.084,63.130,26.020
0000-00-00T23:59:48:634,101051.195,0.014,63.130,26.020
0000-00-00T23:59:48:704,101050.766,0.050,63.160,26.010
0000-00-00T23:59:48:777,101051.180,0.016,63.140,26.020
0000-00-00T23:59:48:847,101050.742,0.052,63.130,26.020
0000-00-00T23:59:48:917,101051.359,0.001,63.150,26.010
0000-00-00T23:59:49:000,101051.172,0.016,63.130,26.040
0000-00-00T23:59:49:071,101050.812,0.046,63.120,26.020
0000-00-00T23:59:49:141,101051.344,0.002,63.130,26.010
0000-00-00T23:59:49:211,101051.383,-0.002,63.050,26.010
0000-00-00T23:59:49:281,101050.773,0.049,63.070,26.010
0000-00-00T23:59:49:351,101051.977,-0.051,63.020,26.020
0000-00-00T23:59:49:424,101052.719,-0.113,63.000,26.010
0000-00-00T23:59:49:494,101052.055,-0.057,62.960,26.020
0000-00-00T23:59:49:564,101051.836,-0.039,62.870,26.040
0000-00-00T23:59:49:634,101051.125,0.021,62.840,26.040
0000-00-00T23:59:49:704,101051.359,0.001,62.740,26.040
0000-00-00T23:59:49:774,101051.688,-0.026,62.700,26.040
0000-00-00T23:59:49:845,101050.672,0.058,62.670,26.020
0000-00-00T23:59:50:000,101048.633,0.228,62.590,26.040
0000-00-00T23:59:50:071,101048.797,0.215,62.540,26.020
0000-00-00T23:59:50:143,101048.750,0.219,62.490,26.050
0000-00-00T23:59:50:214,101048.969,0.200,62.410,26.050
0000-00-00T23:59:50:284,101048.805,0.214,62.410,26.050
0000-00-00T23:59:50:354,101048.852,0.210,62.330,26.040
0000-00-00T23:59:50:424,101049.828,0.128,62.300,26.050
0000-00-00T23:59:50:494,101050.320,0.087,62.250,26.040
0000-00-00T23:59:50:564,101051.688,-0.026,62.210,26.040
0000-00-00T23:59:50:634,101050.383,0.082,62.170,26.040
0000-00-00T23:59:50:710,101049.656,0.143,62.110,26.050
